id,word,translation,example,exampleTr,level,cefrLevel,partOfSpeech,topic
700,sometimes,bazen,I sometimes use a translation app on my phone when I travel abroad.,Yurt dışına seyahat ettiğimde bazen telefonumdaki çeviri uygulamasını kullanırım.,easy,A2,adverb,technology
701,actually,aslında,I thought the film would be boring but it was actually very exciting.,Filmin sıkıcı olacağını düşündüm ama aslında çok heyecan vericiydi.,medium,B1,adverb,social
702,perhaps,belki,Perhaps we should book the hotel now before all the rooms are taken.,Belki tüm odalar dolmadan önce şimdi oteli rezerve etmeliyiz.,medium,B1,adverb,travel
703,cost,maliyet,The cost of renting an office in the city center is very high.,Şehir merkezinde ofis kiralamanın maliyeti çok yüksek.,medium,B1,noun,business
704,member,üye,She became a member of the local book club last year.,Geçen yıl yerel kitap kulübüne üye oldu.,easy,A2,noun,social
705,enough,yeterince,Make sure you get enough sleep before the important exam tomorrow.,Yarınki önemli sınavdan önce yeterince uyuduğundan emin ol.,easy,A2,adverb,health
706,view,manzara,From the hotel balcony we had a stunning view of the mountains.,Otel balkonundan dağların muhteşem bir manzarası vardı.,easy,A2,noun,travel
707,public,genel,Taking public transport is cheaper and better for the environment.,Toplu taşıma kullanmak hem daha ucuz hem de çevre için daha iyidir.,medium,B1,adjective,travel
708,term,dönem,The new school term begins on the first Monday of September.,Yeni okul dönemi Eylül'ün ilk pazartesi günü başlar.,medium,B1,noun,education
709,present,sunmak,She will present her research findings to the team on Friday.,Cuma günü araştırma bulgularını ekibe sunacak.,medium,B1,verb,education
710,concern,endişe,The doctor expressed concern about the high blood pressure of the patient.,Doktor hastanın yüksek tansiyonuyla ilgili endişesini dile getirdi.,medium,B1,noun,health
711,product,ürün,The company launched a new product that quickly became popular online.,Şirket çevrimiçi ortamda hızla popüler olan yeni bir ürün piyasaya sürdü.,medium,B1,noun,business
712,control,kontrol etmek,The software allows you to control your smart devices from anywhere.,Yazılım akıllı cihazlarınızı her yerden kontrol etmenizi sağlar.,medium,B1,verb,technology
713,price,fiyat,The price of the new laptop was much higher than I expected.,Yeni dizüstü bilgisayarın fiyatı beklediğimden çok daha yüksekti.,easy,A2,noun,business
714,effect,etki,Regular exercise has a positive effect on both your body and mind.,Düzenli egzersizin hem vücudunuz hem de zihniniz üzerinde olumlu bir etkisi vardır.,medium,B1,noun,health
715,deal,anlaşma,The two companies signed a deal to work together for three years.,İki şirket üç yıl boyunca birlikte çalışmak için bir anlaşma imzaladı.,medium,B1,noun,business
716,power,güç,The new server requires a lot of power to run all its processes.,Yeni sunucu tüm işlemlerini çalıştırmak için çok fazla güç gerektiriyor.,medium,B1,noun,technology
717,whole,bütün,She spent the whole afternoon preparing for her presentation the next day.,Tüm öğleden sonrasını ertesi günkü sunumuna hazırlanarak geçirdi.,easy,A2,adjective,daily
718,care,önemsemek,I care about getting enough rest to stay healthy and feel energetic.,Sağlıklı kalmak ve enerjik hissetmek için yeterince dinlenmeyi önemsiyorum.,medium,B1,verb,health
719,face,yüzleşmek,Every new manager must face challenges when leading a team for the first time.,Her yeni yönetici ilk kez ekibe liderlik ettiğinde zorluklarla yüzleşmek zorundadır.,medium,B1,verb,business
720,level,seviye,Students at the intermediate level can read and write basic sentences well.,Orta seviyedeki öğrenciler temel cümleleri iyi okuyup yazabilir.,easy,A2,noun,education
721,form,form,Please fill in the form with your personal details before the interview.,Lütfen görüşmeden önce formu kişisel bilgilerinizle doldurun.,medium,B1,noun,education
722,rate,oran,The unemployment rate in the country has decreased over the past two years.,Ülkedeki işsizlik oranı son iki yılda düştü.,medium,B1,noun,business
723,stand,ayakta durmak,She had to stand for two hours during the long concert.,Uzun konser boyunca iki saat ayakta durmak zorunda kaldı.,easy,A2,verb,social
724,allow,izin vermek,The school does not allow students to use phones during class.,Okul öğrencilerin ders sırasında telefon kullanmasına izin vermiyor.,easy,A2,verb,education
725,win,kazanmak,Our team worked very hard this season to win the championship.,Takımımız bu sezon şampiyonluğu kazanmak için çok sıkı çalıştı.,easy,A2,verb,social
726,less,daha az,Try to eat less sugar to stay healthy and feel better.,Sağlıklı kalmak ve daha iyi hissetmek için daha az şeker yemeye çalış.,easy,A2,adverb,health
727,once,bir kez,I visited that beautiful city once and I want to go back.,O güzel şehri bir kez ziyaret ettim ve geri dönmek istiyorum.,easy,A2,adverb,travel
728,maybe,belki,Maybe we should leave earlier to avoid the heavy traffic today.,Bugün yoğun trafikten kaçınmak için belki daha erken ayrılmalıyız.,easy,A2,adverb,daily
729,black,siyah,She wore a black jacket and blue jeans to the meeting.,Toplantıya siyah bir ceket ve mavi kot pantolon giydi.,easy,A2,adjective,daily
730,easy,kolay,The first chapter of the book was easy to understand for beginners.,Kitabın ilk bölümü yeni başlayanlar için anlamak kolaydı.,easy,A2,adjective,education
731,true,doğru,Is it true that the museum will be closed for repairs next week?,Müzenin gelecek hafta tadilat için kapalı olacağı doğru mu?,easy,A2,adjective,daily
732,cause,neden olmak,Eating too much fast food can cause serious health problems over time.,Çok fazla fast food yemek zamanla ciddi sağlık sorunlarına neden olabilir.,medium,B1,verb,health
733,reach,ulaşmak,With the new app users can easily reach customer support within seconds.,Yeni uygulama sayesinde kullanıcılar müşteri desteğine saniyeler içinde ulaşabiliyor.,medium,B1,verb,technology
734,sell,satmak,The company decided to sell its online platform to a larger competitor.,Şirket çevrimiçi platformunu daha büyük bir rakibe satmaya karar verdi.,medium,B1,verb,business
735,real,gerçek,Moving to a new city alone was a real challenge for her social life.,Yeni bir şehre tek başına taşınmak sosyal yaşantısı için gerçek bir zorluktaydı.,medium,B1,adjective,social
736,able,yapabilen,With this software you are able to edit photos quickly on your phone.,Bu yazılım sayesinde telefonunuzda fotoğrafları hızlıca düzenleyebilirsiniz.,medium,B1,adjective,technology
737,major,önemli,The company made a major decision to expand into the European market.,Şirket Avrupa pazarına açılmak için önemli bir karar aldı.,medium,B1,adjective,business
738,individual,bireysel,The teacher gave individual feedback to each student after the exam.,Öğretmen sınavın ardından her öğrenciye bireysel geri bildirim verdi.,medium,B1,adjective,education
739,human,insani,Regular sleep is essential for human health and mental well-being.,Düzenli uyku insan sağlığı ve zihinsel refah için çok önemlidir.,medium,B1,adjective,health
740,else,başka,If you don't want pizza what else would you like for dinner?,Pizza istemiyorsan akşam yemeği için başka ne istersin?,medium,B1,adverb,daily
741,language,dil,Learning a new language takes time but opens many career opportunities.,Yeni bir dil öğrenmek zaman alır ama birçok kariyer fırsatı açar.,medium,B1,noun,education
742,moment,an,Please wait a moment while I look up the information you need.,İhtiyacınız olan bilgiyi ararken lütfen bir an bekleyin.,medium,B1,noun,daily
743,history,tarih,She studied history at university because she loved learning about the past.,Geçmişi öğrenmeyi sevdiği için üniversitede tarih okudu.,medium,B1,noun,education
744,special,özel,They prepared a special dinner to celebrate their parents' anniversary.,Ebeveynlerinin yıldönümünü kutlamak için özel bir akşam yemeği hazırladılar.,medium,B1,adjective,social
745,though,yine de,The restaurant was expensive; the food was excellent though.,Restoran pahalıydı; yemekler yine de harikaydı.,medium,B1,adverb,daily
746,political,siyasi,The newspaper covered the political debate between the two candidates.,Gazete iki aday arasındaki siyasi tartışmayı haberleştirdi.,medium,B2,adjective,academic
747,particular,belirli,She was looking for a particular type of coffee that her friend recommended.,Arkadaşının tavsiye ettiği belirli bir kahve türü arıyordu.,medium,B2,adjective,daily
748,further,daha fazla,We need to discuss this issue further before making a final decision.,Nihai bir karar vermeden önce bu konuyu daha fazla tartışmamız gerekiyor.,medium,B2,adverb,business
749,development,gelişme,The rapid development of smartphones changed how we communicate every day.,Akıllı telefonların hızlı gelişmesi her gün iletişim kurma şeklimizi değiştirdi.,medium,B2,noun,technology
750,policy,politika,The app has a clear privacy policy that explains how your data is used.,Uygulama verilerinizin nasıl kullanıldığını açıklayan net bir gizlilik politikasına sahip.,medium,B2,noun,technology
751,record,kayıt,The system automatically creates a record of every login attempt on your account.,Sistem hesabınızdaki her oturum açma girişiminin otomatik olarak kaydını oluşturuyor.,medium,B2,noun,technology
752,rather,oldukça,The weather was rather cold for spring so we wore warm jackets.,Hava ilkbahar için oldukça soğuktu bu yüzden kalın ceketler giydik.,medium,B1,adverb,daily
